,Nom,Score,Marque,Segment_Marche,Bits_Donnees,Nb_Coeurs,Nb_Threads,Generation_Intel,Frequence_Base,Frequence_Max,PCI_Express,Socket,Memoire_Capa_Max,Memoire_DDR,Nb_Canaux,Memoire_Frequence_Max,Processeur_Graphique,Frequence_Graphique_Base,Frequence_Graphique_Dynamique,TDP,L1_Data,L1_Instructions,L2,L3,Date_Sortie,Famille,Gamme,MicroArchitecture,Processeur_Coeur,Bande_Passante_Memoire,Architecture,L4,Max_Temperature,Multiprocessing,Part_number_OEM,Part_number_BOX_English,Part_number_BOX_Chinese,Bus_speed,Clock_multiplier
0,AMD 3015e,2678.0,AMD,Laptop,64.0,2.0,4.0,,1.2,2.3,3.0,FT5,,DDR4,1.0,1600,AMD Radeon RX Vega 3,300,600.0,6.0,2x32/8,2x64/4,2x512/8,4000/16,Juillet 2020,AMD 3000-Series,,Zen,Dali,,14.0,,105.0,1.0,AM3015BRP2OFJ,,,,
1,AMD 3020e,2632.0,AMD,Laptop,64.0,2.0,2.0,,1.2,2.6,3.0,FT5,,DDR4,2.0,2400,AMD Radeon RX Vega 3,300,1000.0,6.0,2x32/8,2x64/4,2x512/8,4000/16,Janvier 2020,AMD 3000-Series,,Zen,Dali,,14.0,,105.0,1.0,YM3020C7T2OFG,,,,
2,AMD A10 Micro-6700T,1291.0,AMD,Tablet,64.0,4.0,4.0,,1.2,2.2,2.0,FT3b,,DDR3L,1.0,1333,AMD Radeon R6 (Mullins),,500.0,4.5,4x32/8,4x32/2,2000/16,,Avril 2014,Processeur AMD A-Series,Gamme A10 MICRO,Puma,Mullins,,28.0,,90.0,1.0,AM670TIVJ44JB,,,,
3,AMD A10 PRO-7350B,1910.0,AMD,Laptop,64.0,4.0,4.0,,2.1,3.3,3.0,FP3,,DDR3,2.0,1600,AMD Radeon R6 (Kaveri),,533,19.0,4x16/4,2x96/3,2x2000/16,,Juin 2014,Processeur AMD A-Series,Gamme A10 PRO,Steamroller,Kaveri,25.6,28.0,,105.0,1.0,AM735BECH44JA,,,,
4,AMD A10 PRO-7800B,3150.0,AMD,Desktop,64.0,4.0,4.0,,3.5,3.9,3.0,FM2+,,DDR3,2.0,2133,AMD Radeon R7 - 512 (Kaveri),720.0,980.0,65.0,4x16/4,2x96/3,2x2000/16,,Juillet 2014,Processeur AMD A-Series,Gamme A10 PRO,Steamroller,Kaveri,34.1,28.0,,71.0,1.0,AD780BYBI44JA,,,,
5,AMD A10 PRO-7850B,3406.0,AMD,Desktop,64.0,4.0,4.0,,3.7,4.0,3.0,FM2+,,DDR3,2.0,2133,AMD Radeon R7 - 512 (Kaveri),720.0,980.0,95.0,4x16/4,2x96/3,2x2000/16,,Juillet 2014,Processeur AMD A-Series,Gamme A10 PRO,Steamroller,Kaveri,34.1,28.0,,95.0,1.0,AD785BXBI44JA,,,,
6,AMD A10-4600M,1897.0,AMD,Laptop,64.0,4.0,4.0,,2.3,3.2,2.0,FS1r2,,DDR3/DDR3L/DDR3U,2.0,1600/1600/1333,AMD Radeon HD 7660G,497.0,686.0,35.0,4x16/4,2x64/2,2x2000/16,,Mai 2012,Processeur AMD A-Series,Gamme A10,Piledriver,Trinity,25.6,32.0,,100.0,1.0,AM4600DEC44HJ,,,,
7,AMD A10-4655M,1591.0,AMD,Laptop,64.0,4.0,4.0,,2.0,2.8,2.0,FP2,,DDR3/DDR3L/DDR3U,2.0,1333/1333/1066,AMD Radeon HD 7620G,360.0,497.0,25.0,4x16/4,2x64/2,2x2000/16,,Mai 2012,Processeur AMD A-Series,Gamme A10,Piledriver,Trinity,21.3,32.0,,100.0,1.0,AM4655SIE44HJ,,,,
8,AMD A10-4657M,1759.0,AMD,Laptop,64.0,4.0,4.0,,2.3,3.2,2.0,FP2,,DDR3/DDR3L/DDR3U,2.0,1600/1600/1333,AMD Radeon HD 7660G,497.0,686.0,35.0,4x16/4,2x64/2,2x2000/16,,Avril 2013,Processeur AMD A-Series,Gamme A10,Piledriver,Trinity,25.6,32.0,,100.0,1.0,AM4657DFE44HJ,,,,
9,AMD A10-5700,2737.0,AMD,Desktop,64.0,4.0,4.0,,3.4,4.0,2.0,FM2,,DDR3,2.0,1866,AMD Radeon HD 7660D,760.0,,65.0,4x16/4,2x64/2,2x2000/16,,Octobre 2012,Processeur AMD A-Series,Gamme A10,Piledriver,Trinity,29.9,32.0,,71.0,1.0,AD5700OKA44HJ,AD5700OKHJBOX/fan/heatsink,AD5700OKHJBOX/fan/heatsink,,
10,AMD A10-5745M,1716.0,AMD,Laptop,64.0,4.0,4.0,,2.1,2.9,2.0,FP2,,DDR3/DDR3L/DDR3U,2.0,1333/1333/1066,AMD Radeon HD 8610G,533.0,626.0,25.0,4x16/4,2x64/2,2x2000/16,,Mai 2013,Processeur AMD A-Series,Gamme A10,Piledriver,Richland,21.3,32.0,,105.0,1.0,AM5745SIE44HL,,,,